sites	MsPb	MsCd	MsZn	KsPb	KsCd	KsZn	KsS
6	11,1	0,207	31	1	0,07	29	1750
8	19,8	0,361	55	1,5	0,07	27	1750
7	14,4	0,304	41	1,2	0,09	28	1600
17	12,77	0,295	63,4	0,6	0,06	36	1820
9	17,5	0,309	45,4	0,09	0,2	850	580
16	13,4	0,36	50,5	1	0,12	32	1520
22	14,5	0,312	41,3	1	0,03	28	2150
18	11,3	0,346	46,7	0,5	0,43	28	4030
30	14,25	0,347	52,8	0,8	0,08	27	1610
23	17,1	0,265	56	1,1	0,04	42	2000
15	13,7	0,362	43,2	0,9	0,1	24	1670
14	12,04	0,591	41,4	1	0,17	34	1830
5	14,13	0,424	45,2	1,1	0,1	32	1990
28	11,5	0,277	36,1	0,9	0,05	34	1670
39	16,7	0,417	40,9	1	0,1	38	1740
40	11,2	0,367	12,3	0,7	0,06	34	1770
29	9,22	0,404	29,5	0,6	0,14	27	1680
41	11,22	0,54	43,2	0,7	0,17	39	1840
42	10,74	0,491	63	0,7	0,1	33	1690
27	14,3	0,364	54,4	0,1	0,12	26	1600
38	16,1	0,313	49,7	1,7	0,18	34	1720
49	9,6	0,337	49,6	0,8	0,11	37	1680
37	13,1	0,338	47,3	0,6	0,12	33	1580
47	21,3	0,419	135	1,1	0,11	25	1650
48	23,5	0,682	72,3	2,3	0,42	33	1600
51	19,2	0,489	55,1	0,8	0,14	22	1640
4	10,87	0,294	34,1	0,8	0,02	26	1790
3	13,34	0,468	47,5	0,8	0,14	31	1710
13	14,4	0,276	48,2	0,18	0,18	1160	350
26	12,16	0,262	43,9	0,8	0,05	19	1620
36	12,9	0,352	38,6	1,2	0,05	31	1570
46	15,1	0,333	74	0,8	0,09	33	1680
50	17,8	0,308	142	1,4	0,13	29	1730
53	16,9	0,403	46,3	1	0,12	36	1750
45	17,3	0,433	48,8	1,5	0,17	45	1780
54	9,08	0,285	42,6	0,7	0,1	26	1750
59	14,8	0,368	54,4	1,3	0,13	26	1470
60	11,65	0,244	47,3	1	0,2	32	2160
58	19,4	0,402	57,4	1	0,11	28	1980
57	30,1	0,475	102	1,7	0,15	39	1850
35	17,8	0,409	62	0,08	0,24	720	1960
33	51	0,54	84,8	0,16	0,26	800	530
25	18,4	0,592	74,9	0,9	0,09	35	1460
12	9,78	0,213	39,9	0,16	0,23	910	1460
21	14	0,474	63,6	0,06	0,24	830	620
11	23,4	0,43	63,1	0,9	0,08	27	1720
2	12,9	0,351	68,7	0,7	0,14	27	1770
1	21,7	0,396	76,2	1	0,04	21	1540
10	13,35	0,527	62,2	1	0,03	29	1780
20	16,2	0,324	58,4	1,5	0,14	32	1730
24	13,7	0,254	56,7	1,7	0,18	39	1740
31	22,5	0,423	49,6	1,1	0,15	28	1740
32	18,6	0,434	81,2	1,2	0,03	35	1820
19	11,33	0,384	83,9	0,8	0,01	18	4030
43	11,92	0,265	89,5	0,5	0,11	39	4030
44	16,9	0,282	56,7	0,8	0,08	38	1800
52	22,4	0,379	57,2	2	0,23	36	4030
56	40,2	0,631	118	1	0,11	34	1970
